participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.pay1,player.pay2,player.photoid,player.full_path_to_image,player.image_info,player.full_path_to_image_ex,player.image_info_ex,player.submitted,player.word,player.promotion_verbal,player.promotion_recognizability,player.promotion_originality,player.decoded,player.image_data,player.colourblindness,player.english,player.english_proficiency,player.creativity,player.difficulty,player.stereotypes,player.investment_likelihood,player.persuasiveness,player.risk_preference,player.competition,player.yourguess,player.guess_norig,player.bonus_originality,player.bonus_recognizability,player.testq,player.test_task,player.workerID,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,2zw6eegs,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,xc3w7yxu,,,,,,1
1,nz1gfyhj,,0,2,3,a1_intro_task,Task,2020-11-30 14:39:50.888726+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,sxhkn3g1,,,,,,1
2,n0ero2pp,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,sxhkn3g1,,,,,,1
3,je83lcdf,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,sxhkn3g1,,,,,,1
1,6dffoip8,,0,2,3,a1_intro_task,Task,2020-12-01 10:41:57.820956+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,bbzao7jp,,,,,,1
2,t0w3g8ls,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,bbzao7jp,,,,,,1
3,iofaa0rw,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,bbzao7jp,,,,,,1
1,e8adymie,,0,2,3,a1_intro_task,Task,2020-12-01 10:47:22.639508+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,ascysxb5,,,,,,1
2,pn2svgns,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,ascysxb5,,,,,,1
3,h1bb43mf,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,ascysxb5,,,,,,1
1,m1pztraz,,0,0,3,,,,0,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,78xycc2o,,,,,,1
2,7xojtwoa,,0,3,3,a1_intro_task,Promotion,2020-12-01 10:50:26.071264+00:00,1,,,0.00,2,,,,C:\Users\Roemer\Seafile\wipol-hilfskraefte\programming_experiments\promoting-inno-online - innovators - final\_static\278xycc2o.png,278xycc2o,,,,hi,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,78xycc2o,,,,,,1
3,1t1qfd4v,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,78xycc2o,,,,,,1
1,86jvc8s8,,0,3,3,a1_intro_task,Promotion,2020-12-01 10:57:15.995156+00:00,1,,,0.00,1,,,,C:\Users\Roemer\Seafile\wipol-hilfskraefte\programming_experiments\promoting-inno-online - innovators - final\_static\11p9q4gq4.png,11p9q4gq4,,,,rfewr,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,1p9q4gq4,,,,,,1
2,f0cqc2io,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,1p9q4gq4,,,,,,1
3,urr54rha,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,1p9q4gq4,,,,,,1
1,vdi6hvzv,,0,3,3,a1_intro_task,Promotion,2020-12-01 11:07:27.075897+00:00,1,,,0.00,1,,,,C:\Users\Roemer\Seafile\wipol-hilfskraefte\programming_experiments\promoting-inno-online - innovators - final\_static\1fh9d8fww.png,1fh9d8fww,,,,fdf,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fh9d8fww,,,,,,1
2,1vkk3hwp,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fh9d8fww,,,,,,1
3,1m12zf5t,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fh9d8fww,,,,,,1
1,wd2n46zo,,0,3,3,a1_intro_task,Promotion,2020-12-01 11:09:15.881444+00:00,1,,,0.00,1,,,,C:\Users\Roemer\Seafile\wipol-hilfskraefte\programming_experiments\promoting-inno-online - innovators - final\_static\11nl1zkee.png,11nl1zkee,,,,fetr,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,1nl1zkee,,,,,,1
2,h6rb287p,,0,0,3,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,1nl1zkee,,,,,,1
3,er479nih,,0,0,3,,,,0,,,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,1nl1zkee,,,,,,1
